id,city,locality,apartment_type,area_sqft,bedrooms,bathrooms,floor_number,total_floors,age_of_building,furnished_status,parking_available,gym,swimming_pool,distance_to_metro_km,distance_to_school_km,distance_to_hospital_km,crime_rate_index,air_quality_index,avg_nearby_rent,monthly_rent
71,Bangalore,Rajajinagar,2BHK,870,2,2,3,8,12,Semi-Furnished,1,0,0,4.5,0.9,1.5,4,84,21000,24000
72,Delhi,Pitampura,2BHK,900,2,2,5,10,13,Semi-Furnished,1,0,0,4.8,1.4,2.8,5,67,21000,23000
73,Hyderabad,Uppal,2BHK,850,2,2,4,9,11,Unfurnished,0,0,0,7.0,1.5,2.2,5,77,14000,14500
74,Chennai,Kodambakkam,2BHK,860,2,2,6,11,10,Semi-Furnished,1,0,0,3.8,0.8,1.5,4,79,18000,20500
75,Mumbai,Kandivali,2BHK,880,2,2,8,16,8,Fully-Furnished,1,1,0,3.5,1.0,2.0,3,81,25000,29000
76,Pune,Kalyani Nagar,3BHK,1280,3,2,6,12,5,Fully-Furnished,2,1,1,5.5,0.6,1.2,2,91,30000,37000
77,Bangalore,Tumkur Road,1BHK,480,1,1,2,6,16,Unfurnished,0,0,0,10.0,2.2,3.8,5,78,9000,8500
78,Delhi,Shalimar Bagh,2BHK,880,2,2,4,9,15,Semi-Furnished,1,0,0,5.5,1.5,3.0,5,66,20000,22500
79,Hyderabad,Malkajgiri,1BHK,470,1,1,2,6,17,Unfurnished,0,0,0,6.0,1.8,2.8,6,74,8000,7500
80,Chennai,Anna Salai,2BHK,940,2,2,10,20,6,Fully-Furnished,1,1,1,1.8,0.5,0.5,3,81,28000,34000
81,Mumbai,Borivali,2BHK,910,2,2,9,18,7,Fully-Furnished,1,1,0,2.5,0.8,1.5,3,82,28000,33000
82,Pune,Deccan,2BHK,800,2,2,3,7,12,Semi-Furnished,0,0,0,2.5,0.3,0.8,3,89,22000,25500
83,Bangalore,Banashankari,2BHK,900,2,2,5,11,9,Semi-Furnished,1,0,0,5.0,0.8,1.5,3,86,20000,23000
84,Delhi,Connaught Place,1BHK,400,1,1,6,12,25,Unfurnished,0,0,0,0.5,0.5,1.0,4,62,22000,26000
85,Hyderabad,Begumpet,2BHK,1020,2,2,7,14,7,Fully-Furnished,1,1,1,1.5,0.5,0.8,2,87,28000,35000
86,Chennai,T Nagar,3BHK,1350,3,3,8,16,8,Fully-Furnished,2,1,1,2.0,0.3,0.8,2,82,40000,49000
87,Mumbai,Dombivli,2BHK,860,2,2,5,10,12,Unfurnished,1,0,0,8.5,1.5,2.5,4,79,16000,17000
88,Pune,Baner,2BHK,1010,2,2,7,14,4,Fully-Furnished,1,1,1,7.5,0.7,1.8,2,90,24000,29500
89,Bangalore,Old Madras Road,2BHK,840,2,2,4,9,11,Semi-Furnished,1,0,0,6.5,1.3,2.0,4,83,20000,22500
90,Delhi,Rajouri Garden,2BHK,860,2,2,5,10,14,Semi-Furnished,1,0,0,3.0,1.2,2.5,5,66,22000,24500
91,Hyderabad,Kothapet,2BHK,870,2,2,3,8,13,Unfurnished,0,0,0,6.5,1.5,2.2,5,76,13000,13500
92,Chennai,Mylapore,2BHK,920,2,2,5,11,14,Semi-Furnished,1,0,0,3.5,0.6,0.8,3,80,22000,26000
93,Mumbai,Versova,2BHK,960,2,2,6,13,9,Fully-Furnished,1,1,0,3.5,0.8,1.8,3,84,32000,38000
94,Pune,Warje,2BHK,880,2,2,4,9,8,Semi-Furnished,1,0,0,7.0,1.2,2.2,3,87,18000,21000
95,Bangalore,Jayanagar,3BHK,1400,3,3,6,13,8,Fully-Furnished,2,1,1,2.0,0.4,1.0,2,89,38000,47000
96,Delhi,Vasundhara,2BHK,920,2,2,7,14,9,Fully-Furnished,1,1,0,5.0,0.9,1.8,3,73,25000,29000
97,Hyderabad,Sainikpuri,2BHK,860,2,2,4,9,12,Semi-Furnished,1,0,0,8.5,1.6,2.5,4,80,15000,17000
98,Chennai,Ambattur,1BHK,490,1,1,3,7,16,Unfurnished,0,0,0,7.5,2.0,3.0,6,72,8500,8000
99,Mumbai,Kharghar,3BHK,1520,3,3,10,20,3,Fully-Furnished,2,1,1,6.0,0.8,1.2,2,86,40000,48000
100,Pune,Kondhwa,2BHK,840,2,2,5,10,9,Semi-Furnished,1,0,0,8.0,1.4,2.5,4,84,16000,18000
101,Bangalore,Nagarbhavi,2BHK,860,2,2,3,8,11,Semi-Furnished,1,0,0,6.0,1.1,2.0,4,82,19000,21500
102,Delhi,Indirapuram,2BHK,980,2,2,8,16,6,Fully-Furnished,1,1,0,4.5,0.8,1.5,3,74,26000,31000
103,Hyderabad,Kompally,2BHK,1000,2,2,5,11,4,Fully-Furnished,1,1,0,10.0,1.2,2.0,2,87,20000,24500
104,Chennai,Korattur,1BHK,470,1,1,2,6,17,Unfurnished,0,0,0,5.5,1.8,2.8,6,73,8000,7200
105,Mumbai,Airoli,2BHK,900,2,2,6,12,8,Semi-Furnished,1,0,0,4.5,1.0,1.8,3,84,22000,25500
106,Pune,Tingre Nagar,2BHK,870,2,2,4,9,9,Semi-Furnished,1,0,0,5.0,1.2,1.5,3,86,18000,21000
107,Bangalore,Yelahanka,2BHK,950,2,2,5,11,7,Fully-Furnished,1,1,0,12.0,1.0,2.0,3,85,20000,23500
108,Delhi,Dwarka Expressway,3BHK,1600,3,3,15,28,2,Fully-Furnished,2,1,1,8.0,0.7,1.5,2,76,38000,45000
109,Hyderabad,Alwal,2BHK,840,2,2,3,8,14,Semi-Furnished,0,0,0,9.0,1.8,3.0,5,78,14000,15000
110,Chennai,Poonamallee,2BHK,880,2,2,4,9,11,Semi-Furnished,1,0,0,12.0,1.5,2.5,4,77,13000,14500
111,Mumbai,Panvel,2BHK,1000,2,2,7,14,5,Fully-Furnished,1,1,0,10.0,0.9,1.5,3,83,20000,23000
112,Pune,Sinhagad Road,2BHK,910,2,2,5,10,8,Semi-Furnished,1,0,0,9.5,1.3,2.0,3,87,17000,19500
113,Bangalore,Domlur,2BHK,870,2,2,4,9,13,Fully-Furnished,1,1,0,2.5,0.5,1.0,3,88,28000,33500
114,Delhi,Sector 62 Noida,3BHK,1480,3,3,11,22,5,Fully-Furnished,2,1,1,3.5,0.6,1.0,2,75,36000,43000
115,Hyderabad,Mehdipatnam,2BHK,900,2,2,6,12,10,Semi-Furnished,1,0,0,3.5,0.7,0.8,4,81,19000,22000
116,Chennai,Nanganallur,2BHK,850,2,2,4,8,12,Semi-Furnished,1,0,0,5.5,1.2,1.8,4,78,15000,17000
117,Mumbai,Badlapur,2BHK,980,2,2,4,9,10,Semi-Furnished,1,0,0,42.0,1.5,2.5,4,80,12000,13000
118,Pune,Sus Road,3BHK,1400,3,3,5,11,3,Fully-Furnished,2,1,1,9.0,0.8,1.8,2,91,30000,36500
119,Bangalore,RT Nagar,2BHK,830,2,2,3,8,13,Semi-Furnished,1,0,0,7.5,1.0,1.8,4,83,18000,20500
120,Delhi,Sector 50 Gurgaon,2BHK,1050,2,2,10,20,4,Fully-Furnished,1,1,1,4.5,0.7,1.2,2,77,32000,39000
